Candidate_ID	Priority	Source_Name	Source_Type	Origin_Target	Evidence_Tier	Proposed_Role	Proposed_Records	Access_or_Download	Key_Fields_To_Extract	Verification_Needs	Risk_or_Caution	URL	Source_Note
EXP-001	P0	Natural Products Atlas	curated_database	biological	A	biological natural product expansion; high-complexity and medium-complexity bio structures	20-40	downloadable database tables and structures	name; SMILES; InChIKey; compound class; organism; literature reference; NPAtlas ID	check original reference for selected high-value records; nonbiotic search for simple metabolites	microbial natural products are biological occurrence evidence, not life-exclusive evidence	https://www.npatlas.org/download	Use as first biological structure source because records are curated and organism-linked.
EXP-002	P0	NPASS natural product activity and species source database	curated_database	biological	A	biological natural product expansion with species/source linkage	20-40	downloadable structure and source tables	name; structure; species source; reference; activity; NPASS ID	check record-level species source and reference; avoid activity-only imports	large database; not every natural product is unique or life-exclusive	https://bidd.group/NPASS/	Good complement to NPAtlas because it emphasizes species source and references.
EXP-003	P1	LOTUS natural products	curated_database	biological	B	broad natural product source-organism candidate pool	30-100	download/API/GitHub data	name; structure; organism; reference; Wikidata/LOTUS IDs	confirm record-level references before promotion to A tier	aggregated records require careful provenance filtering	https://lotus.naturalproducts.net/	Useful for broad coverage, but should be sampled rather than imported wholesale.
EXP-004	P1	COCONUT natural products	curated_database	biological	B	large natural product chemical-space background and scaffold discovery	50-200	downloadable natural product database	name; SMILES; InChIKey; source database; organism/source metadata where present	filter for records with source evidence; avoid treating all records as equal evidence	very large and heterogeneous; may introduce source and scaffold leakage	https://coconut.naturalproducts.net/	Use for candidate discovery and scaffold diversity, not as a direct training set.
EXP-005	P1	HMDB human metabolome database	curated_database	biological	B	low-MA biological occurrence controls and endogenous metabolite structures	10-30	downloads page	name; SMILES/InChI; HMDB ID; biospecimen/location; references	targeted nonbiotic-origin search for every selected simple metabolite	many metabolites also occur abiotically or environmentally	https://hmdb.ca/downloads	Use conservatively as biological occurrence, not life-exclusive label.
EXP-006	P1	ECMDB E. coli metabolome database	curated_database	biological	B	organism-specific microbial metabolite controls	10-30	downloads page	name; structure; ECMDB ID; pathway; references	nonbiotic-origin search for small metabolites; verify organism-specific occurrence	model-organism metabolites include universal/simple chemistry	https://ecmdb.ca/downloads	Good low-MA biological occurrence comparison set.
EXP-007	P2	LIPID MAPS Structure Database	curated_database	biological	B	biological lipid structural diversity and high-MA biological candidates	10-30	database search/download	name; LM ID; class; SMILES; InChIKey; references	check source/reference and decide whether occurrence is organism-specific	fatty acids and simple lipids often have abiotic reports	https://www.lipidmaps.org/databases/lmsd/overview	Useful for high-complexity biological structures, but labels need care.
EXP-008	P0	Bennu returned sample soluble organics 2025	primary_literature	abiotic	A	strong direct-returned-sample abiotic small molecule and biomolecule-related expansion	20-50	paper and supplementary information	name; formula; compound class; exact table; sample context; analytical method	map every imported molecule to exact supplementary table/row; avoid news-only sourcing	some structures may be tentative or formula-level rather than graph-level	https://www.nature.com/articles/s41550-024-02472-9	High-priority because direct returned sample reduces terrestrial contamination ambiguity.
EXP-009	P0	NASA Bennu sample news release	source_pointer	abiotic	D	source discovery and plain-language context for Bennu 2025	0	source pointer only	reported classes and linked papers	use only to find primary papers; do not cite as molecule evidence	not a primary molecule table	https://www.nasa.gov/news-release/nasas-asteroid-bennu-sample-reveals-mix-of-lifes-ingredients/	Useful as orientation, not database evidence.
EXP-010	P0	Murchison/Murray/Tagish Lake nucleobases, sugars, and meteoritic soluble organics	primary_literature	abiotic	A	meteorite abiotic expansion independent of Bennu/Ryugu	20-50	papers and supplements	name; formula; structure; meteorite; extraction method; exact table/page	confirm contamination assessment and exact analytical confidence across papers	meteorites have higher contamination risk than returned samples	https://www.pnas.org/doi/10.1073/pnas.1907169116	Use as a source group; each paper should become a separate Source_ID when imported.
EXP-011	P1	Murchison meteorite nucleobase reports	primary_literature	abiotic	B	abiotic nucleobase candidates and biological-molecule false-positive controls	5-20	paper/preprint and cited primary literature	name; structure; meteorite; isotopic/contamination evidence; exact location	prefer peer-reviewed primary records where available; check analytical certainty	older reports can have contamination debates	https://arxiv.org/abs/0806.2286	Use as a literature trail, then promote only primary verified records.
EXP-012	P0	NASA Ames PAH IR Spectroscopic Database	curated_database	abiotic_or_structure_reference	B	high-complexity PAH and heteroatom-PAH structural pressure test	30-100	database download/search	name; formula; charge; structure; PAHdb ID; spectrum; computed/experimental flag	distinguish actual astrophysical detection, laboratory spectrum, and theoretical structure	not all PAHdb entries are observed abiotic molecules	https://www.astrochemistry.org/pahdb/	Useful for high-MA nonbiological structural candidates.
EXP-013	P1	NIST Chemistry WebBook	curated_database	structure_reference	C	structure and property validation for PAH/combustion/synthetic molecules	20-100	web/database lookup	name; formula; CAS; InChI; structure; spectra/useful identifiers	do not use NIST alone for origin labels; link to combustion/pyrolysis papers separately	chemical reference source, not origin evidence	https://webbook.nist.gov/chemistry/	Good for standardizing structures and identifiers.
EXP-014	P1	CDMS Cologne Database for Molecular Spectroscopy	curated_database	abiotic	B	interstellar/circumstellar detected molecule expansion, mostly low-MA abiotic controls	20-60	database catalogue	molecule; formula; isotopologue; spectroscopic tag; literature reference	confirm astronomical detection paper for selected molecules	structure may be trivial; origin label depends on detection context	https://cdms.astro.uni-koeln.de/classic/	Good independent abiotic source domain for small molecules.
EXP-015	P1	KIDA astrochemistry database	curated_database	abiotic	B	astrochemical reaction species and formation-plausibility context	20-60	database/species/reactions	species; formula; reactions; network source; references	use as formation context; pair with detection/source evidence when possible	reaction-network species are not necessarily observed molecules	https://kida.astrochem-tools.org/	Useful for nonbiotic formation mechanisms rather than final origin labels.
EXP-016	P1	Miller-Urey and spark-discharge reanalysis literature	primary_literature	abiotic	A	prebiotic experimental amino acids, amines, carboxylic acids, and small organics	10-30	papers and supplementary tables	name; structure; experimental condition; exact table; analytical method	separate classic reports from modern reanalysis; exact experiment condition required	small molecules often overlap with biology and meteorites	https://www.science.org/doi/10.1126/science.1161527	Use for independent experimental abiotic evidence.
EXP-017	P2	Cyanosulfidic/prebiotic synthesis literature	primary_literature	abiotic	B	prebiotic nucleotide/amino acid/lipid precursor expansion	10-30	papers and supplements	name; structure; reaction pathway; condition; exact figure/table	record reaction context and whether product was isolated or proposed	pathway intermediates may be hypothetical or condition-dependent	https://www.nature.com/articles/nchem.2202	Useful for mechanistic prebiotic expansion.
EXP-018	P2	FTT/hydrothermal/serpentinization organic synthesis literature	primary_literature	abiotic	B	hydrothermal nonbiotic synthesis controls	10-30	papers and supplements	name; structure; catalyst/mineral; temperature; exact table/figure	confirm product identification level and avoid overgeneralizing complex mixtures	product lists may be group-level rather than exact structures	https://arxiv.org/abs/2105.08498	Use after returned-sample and natural-product pilot sources are stable.
